
Time;HTI888B
13/03/2018  17:57:55;57.316
13/03/2018  19:57:53;57.316
13/03/2018  21:57:53;57.009
13/03/2018  23:57:53;56.972
14/03/2018  01:55:53;56.972
14/03/2018  03:53:53;57.123
14/03/2018  05:53:53;57.280
14/03/2018  07:51:53;56.852
14/03/2018  09:49:53;57.316
14/03/2018  11:49:53;57.473
14/03/2018  13:49:53;57.629
14/03/2018  15:47:53;57.587
14/03/2018  17:45:53;57.436
14/03/2018  19:43:53;57.280
14/03/2018  21:41:53;57.473
14/03/2018  23:41:53;57.280
15/03/2018  01:39:53;56.816
15/03/2018  02:19:53;57.009
15/03/2018  03:35:53;57.436
15/03/2018  05:35:53;57.551
15/03/2018  07:33:53;57.900
15/03/2018  09:33:53;57.744
15/03/2018  11:31:53;57.707
15/03/2018  13:31:53;57.853
15/03/2018  15:29:53;57.707
15/03/2018  17:27:53;57.436
15/03/2018  19:27:53;57.436
15/03/2018  21:27:53;57.436
15/03/2018  23:27:53;57.280
16/03/2018  01:25:53;57.473
16/03/2018  03:25:53;57.316
16/03/2018  05:25:53;57.123
16/03/2018  07:23:53;57.165
16/03/2018  09:21:53;57.123
16/03/2018  11:19:53;57.123
16/03/2018  13:15:53;57.436
16/03/2018  15:15:53;57.707
16/03/2018  17:13:53;57.744
16/03/2018  19:11:53;57.587
16/03/2018  21:11:53;57.436
16/03/2018  23:09:53;57.165
17/03/2018  01:07:53;57.123
17/03/2018  03:03:53;56.852
17/03/2018  05:03:53;56.550
17/03/2018  07:01:53;56.659
17/03/2018  09:01:53;56.852
17/03/2018  10:59:53;57.009
17/03/2018  12:59:53;57.009
17/03/2018  14:57:53;56.816
17/03/2018  16:57:53;57.123
17/03/2018  18:55:53;56.972
17/03/2018  20:55:53;56.816
17/03/2018  22:53:53;56.738
18/03/2018  00:53:53;56.930
18/03/2018  02:53:53;56.816
18/03/2018  04:53:53;56.503
18/03/2018  06:51:53;56.706
18/03/2018  08:49:53;56.659
18/03/2018  10:49:53;56.816
18/03/2018  12:49:53;56.550
18/03/2018  14:47:53;56.659
18/03/2018  16:47:53;56.816
18/03/2018  18:47:53;56.550
18/03/2018  20:47:53;56.242
18/03/2018  22:45:53;56.086
19/03/2018  00:45:53;56.503
19/03/2018  02:43:53;56.393
19/03/2018  04:43:53;56.393
19/03/2018  06:41:53;56.242
19/03/2018  08:39:53;56.242
19/03/2018  10:37:53;56.659
19/03/2018  12:37:53;56.659
19/03/2018  13:45:53;56.242
19/03/2018  14:49:53;56.659
19/03/2018  16:47:53;56.852
19/03/2018  18:47:53;56.659
19/03/2018  20:45:53;56.357
19/03/2018  22:43:53;56.393
20/03/2018  00:41:53;56.242
20/03/2018  02:41:53;56.201
20/03/2018  04:39:53;56.503
20/03/2018  06:39:53;56.659
20/03/2018  08:37:53;56.550
20/03/2018  10:35:53;56.242
20/03/2018  12:35:53;55.929
20/03/2018  14:33:53;55.929
20/03/2018  16:33:53;55.737
20/03/2018  18:33:53;55.622
20/03/2018  20:33:53;55.700
20/03/2018  22:33:53;55.893
21/03/2018  00:31:53;56.044
21/03/2018  02:29:53;55.737
21/03/2018  04:29:53;55.929
21/03/2018  06:27:53;56.086
21/03/2018  08:27:53;55.893
21/03/2018  10:27:53;55.929
21/03/2018  12:25:53;55.737
21/03/2018  14:13:53;55.278
21/03/2018  16:13:53;54.928
21/03/2018  17:49:53;55.278
21/03/2018  19:47:53;55.314
21/03/2018  21:47:53;55.580
21/03/2018  23:47:53;55.737
22/03/2018  01:47:53;55.737
22/03/2018  03:45:53;55.773
22/03/2018  05:45:53;55.622
22/03/2018  07:43:53;55.465
22/03/2018  09:41:53;55.700
22/03/2018  11:39:53;55.434
22/03/2018  13:31:53;55.851
22/03/2018  15:31:53;56.242
22/03/2018  17:29:53;55.929
22/03/2018  19:29:53;55.622
22/03/2018  21:27:53;55.465
22/03/2018  23:27:53;55.278
23/03/2018  01:25:53;55.121
23/03/2018  02:13:53;55.580
23/03/2018  03:01:53;56.044
23/03/2018  04:59:53;55.737
23/03/2018  06:57:53;56.086
23/03/2018  08:57:53;56.242
23/03/2018  10:55:53;56.086
23/03/2018  12:15:53;56.550
23/03/2018  12:15:53;56.550
23/03/2018  12:17:19;56.550
23/03/2018  14:17:17;56.659
23/03/2018  16:17:17;56.242
23/03/2018  18:17:17;56.242
23/03/2018  20:17:17;56.201
23/03/2018  22:15:17;56.201
24/03/2018  00:15:17;55.893
24/03/2018  02:15:17;56.086
24/03/2018  04:15:17;55.851
24/03/2018  06:13:17;55.851
24/03/2018  08:13:17;55.851
24/03/2018  10:11:17;56.164
24/03/2018  12:11:17;56.503
24/03/2018  14:11:17;56.628
24/03/2018  16:11:17;56.503
24/03/2018  18:09:17;56.503
24/03/2018  20:07:17;56.164
24/03/2018  22:07:17;56.201
25/03/2018  00:05:17;56.201
25/03/2018  03:03:17;56.201
25/03/2018  05:01:17;56.242
25/03/2018  07:01:17;55.773
25/03/2018  09:01:17;55.929
25/03/2018  10:59:17;55.929
25/03/2018  12:59:17;55.929
25/03/2018  14:57:17;56.086
25/03/2018  16:57:17;55.893
25/03/2018  18:55:17;55.851
25/03/2018  20:55:17;55.893
25/03/2018  21:53:17;56.242
25/03/2018  23:51:17;56.242
26/03/2018  01:49:17;56.393
26/03/2018  03:27:17;56.044
26/03/2018  04:29:17;55.851
26/03/2018  06:29:17;55.580
26/03/2018  08:27:17;55.737
26/03/2018  10:25:17;55.773
26/03/2018  12:23:17;55.893
26/03/2018  13:45:17;56.201
26/03/2018  15:43:17;56.201
26/03/2018  17:41:17;56.201
26/03/2018  19:39:17;56.201
26/03/2018  21:39:17;56.357
26/03/2018  23:39:17;56.164
27/03/2018  01:37:17;56.201
27/03/2018  03:35:17;56.242
27/03/2018  05:35:17;56.201
27/03/2018  07:33:17;56.086
27/03/2018  09:31:17;56.357
27/03/2018  11:29:17;56.706
27/03/2018  13:29:17;56.816
27/03/2018  15:27:17;56.706
27/03/2018  16:27:17;56.357
27/03/2018  18:15:17;55.971
27/03/2018  20:13:17;56.279
27/03/2018  22:13:17;56.472
28/03/2018  00:11:17;56.628
28/03/2018  02:09:17;56.816
28/03/2018  04:09:17;56.816
28/03/2018  06:07:17;56.930
28/03/2018  08:07:17;56.972
28/03/2018  10:07:17;56.972
28/03/2018  12:07:17;57.280
28/03/2018  14:05:17;57.744
28/03/2018  15:07:17;57.045
28/03/2018  15:57:17;57.744
28/03/2018  17:23:17;57.394
28/03/2018  19:23:17;57.087
28/03/2018  21:21:17;56.774
28/03/2018  23:21:17;56.503
29/03/2018  01:21:17;56.164
29/03/2018  03:19:17;56.044
29/03/2018  05:17:17;56.008
29/03/2018  07:17:17;55.893
29/03/2018  09:17:17;55.929
29/03/2018  11:15:17;56.242
29/03/2018  13:13:17;56.550
29/03/2018  14:59:17;56.930
29/03/2018  15:37:17;57.280
29/03/2018  16:41:17;57.707
29/03/2018  17:19:17;58.166
29/03/2018  17:43:17;57.853
29/03/2018  17:45:17;54.157
29/03/2018  17:47:17;51.389
29/03/2018  17:53:17;48.156
29/03/2018  18:05:17;44.741
29/03/2018  18:15:17;44.361
29/03/2018  18:19:17;43.902
29/03/2018  18:39:17;41.598
29/03/2018  19:59:17;35.905
29/03/2018  20:09:17;35.451
29/03/2018  20:19:17;34.836
29/03/2018  20:33:17;34.414
29/03/2018  20:55:17;33.616
29/03/2018  21:11:17;33.194
29/03/2018  21:29:17;32.698
29/03/2018  21:49:17;32.281
29/03/2018  22:09:17;31.786
29/03/2018  22:37:17;31.364
29/03/2018  23:09:17;30.869
29/03/2018  23:57:17;30.488
30/03/2018  00:35:17;30.034
30/03/2018  01:01:17;29.690
30/03/2018  01:49:17;29.268
30/03/2018  02:19:17;28.887
30/03/2018  03:23:17;28.434
30/03/2018  05:19:17;27.980
30/03/2018  06:31:17;27.522
30/03/2018  08:29:17;27.256
30/03/2018  10:29:17;27.412
30/03/2018  12:15:17;27.866
30/03/2018  13:37:17;28.278
30/03/2018  14:59:17;28.622
30/03/2018  16:59:17;29.044
30/03/2018  18:59:17;29.424
30/03/2018  20:59:17;28.966
30/03/2018  22:57:17;28.778
31/03/2018  00:35:17;28.356
31/03/2018  01:45:17;27.902
31/03/2018  02:27:17;27.443
31/03/2018  04:25:17;27.105
31/03/2018  06:23:17;26.948
31/03/2018  08:23:17;26.990
31/03/2018  10:23:17;26.990
31/03/2018  12:23:17;27.105
31/03/2018  13:37:17;26.646
31/03/2018  14:43:17;26.229
31/03/2018  15:43:17;26.077
31/03/2018  15:45:17;35.331
31/03/2018  15:47:17;41.295
31/03/2018  15:49:17;43.443
31/03/2018  15:53:17;45.628
31/03/2018  16:03:17;48.808
31/03/2018  16:15:17;52.004
31/03/2018  16:37:17;56.659
31/03/2018  16:45:17;57.744
31/03/2018  16:49:17;57.900
31/03/2018  16:53:17;56.628
31/03/2018  18:41:17;56.201
31/03/2018  20:41:17;56.044
31/03/2018  22:39:17;56.315
01/04/2018  00:37:17;56.201
01/04/2018  02:37:17;56.201
01/04/2018  04:35:17;56.393
01/04/2018  06:35:17;56.201
01/04/2018  08:35:17;56.357
01/04/2018  10:35:17;56.201
01/04/2018  11:59:17;56.503
01/04/2018  13:57:17;56.659
01/04/2018  15:57:17;56.972
01/04/2018  17:57:17;56.774
01/04/2018  19:57:17;56.659
01/04/2018  21:55:17;56.550
01/04/2018  23:35:17;56.164
02/04/2018  01:35:17;56.201
02/04/2018  03:33:17;56.086
02/04/2018  05:33:17;55.737
02/04/2018  07:31:17;55.773
02/04/2018  09:23:17;56.242
02/04/2018  11:21:17;56.550
02/04/2018  12:43:17;56.930
02/04/2018  14:41:17;57.087
02/04/2018  16:39:17;57.436
02/04/2018  18:37:17;57.587
02/04/2018  20:35:17;57.551
02/04/2018  22:35:17;57.473
03/04/2018  00:33:17;57.436
