
Time;HTI892B
25/03/2018  01:43:17;48.506
25/03/2018  04:41:17;48.349
25/03/2018  06:41:17;48.078
25/03/2018  08:41:17;48.349
25/03/2018  10:39:17;48.391
25/03/2018  11:41:17;47.927
25/03/2018  13:33:17;48.349
25/03/2018  14:15:17;48.662
25/03/2018  15:17:17;48.193
25/03/2018  17:17:17;47.854
25/03/2018  19:15:17;47.854
25/03/2018  21:09:17;48.193
25/03/2018  22:57:17;48.542
26/03/2018  00:55:17;48.850
26/03/2018  01:15:17;48.506
26/03/2018  03:13:17;48.506
26/03/2018  03:57:17;48.047
26/03/2018  04:51:17;47.734
26/03/2018  06:49:17;47.583
26/03/2018  08:47:17;47.583
26/03/2018  08:59:17;48.047
26/03/2018  10:59:17;47.734
26/03/2018  12:39:17;48.047
26/03/2018  13:21:17;48.506
26/03/2018  15:21:17;48.662
26/03/2018  17:19:17;48.771
26/03/2018  19:17:17;48.506
26/03/2018  20:23:17;48.349
26/03/2018  22:21:17;48.464
27/03/2018  00:19:17;48.506
27/03/2018  02:19:17;48.620
27/03/2018  04:17:17;48.662
27/03/2018  05:21:17;48.313
27/03/2018  07:19:17;48.662
27/03/2018  09:19:17;48.662
27/03/2018  11:17:17;48.964
27/03/2018  13:15:17;49.272
27/03/2018  14:13:17;48.808
27/03/2018  14:41:17;49.121
27/03/2018  16:01:17;48.662
27/03/2018  16:11:17;48.886
27/03/2018  17:09:17;48.662
27/03/2018  18:53:17;48.271
27/03/2018  19:39:17;47.969
27/03/2018  20:13:17;48.271
27/03/2018  20:23:17;48.620
27/03/2018  21:27:17;49.043
27/03/2018  23:27:17;48.886
28/03/2018  00:39:17;49.235
28/03/2018  02:39:17;49.423
28/03/2018  04:37:17;49.199
28/03/2018  06:13:17;49.694
28/03/2018  08:11:17;49.423
28/03/2018  10:11:17;49.579
28/03/2018  12:11:17;49.887
28/03/2018  13:57:17;50.309
28/03/2018  14:37:17;50.309
28/03/2018  14:39:17;49.694
28/03/2018  14:57:17;50.043
28/03/2018  15:19:17;50.502
28/03/2018  15:27:17;50.153
28/03/2018  17:27:17;50.309
28/03/2018  18:07:17;49.997
28/03/2018  20:07:17;49.579
28/03/2018  21:43:17;49.272
28/03/2018  23:43:17;48.964
29/03/2018  01:41:17;48.662
29/03/2018  02:45:17;48.464
29/03/2018  04:45:17;48.349
29/03/2018  06:45:17;48.193
29/03/2018  08:43:17;48.078
29/03/2018  10:41:17;48.542
29/03/2018  12:41:17;48.808
29/03/2018  14:39:17;49.272
29/03/2018  15:13:17;49.731
29/03/2018  16:31:17;49.997
29/03/2018  16:37:17;50.309
29/03/2018  16:53:17;49.851
29/03/2018  17:43:17;49.694
29/03/2018  17:45:17;47.239
29/03/2018  17:49:17;46.008
29/03/2018  18:05:17;42.594
29/03/2018  18:09:17;43.709
29/03/2018  18:23:17;41.947
29/03/2018  19:49:17;35.639
29/03/2018  20:07:17;34.836
29/03/2018  20:23:17;34.070
29/03/2018  20:41:17;33.647
29/03/2018  20:59:17;33.194
29/03/2018  21:13:17;32.777
29/03/2018  21:33:17;32.281
29/03/2018  21:59:17;31.823
29/03/2018  22:27:17;31.364
29/03/2018  23:09:17;30.869
29/03/2018  23:51:17;30.452
30/03/2018  00:35:17;30.034
30/03/2018  01:07:17;29.576
30/03/2018  02:09:17;29.080
30/03/2018  03:27:17;28.622
30/03/2018  05:21:17;28.132
30/03/2018  06:29:17;27.678
30/03/2018  08:29:17;27.412
30/03/2018  10:29:17;27.866
30/03/2018  12:27:17;28.356
30/03/2018  14:25:17;28.814
30/03/2018  16:17:17;29.200
30/03/2018  18:11:17;29.576
30/03/2018  20:11:17;29.232
30/03/2018  22:09:17;28.966
31/03/2018  00:07:17;28.663
31/03/2018  01:17:17;28.210
31/03/2018  02:13:17;27.746
31/03/2018  04:11:17;27.256
31/03/2018  06:09:17;27.292
31/03/2018  08:09:17;27.256
31/03/2018  10:09:17;27.256
31/03/2018  12:09:17;27.256
31/03/2018  13:29:17;26.760
31/03/2018  14:43:17;26.380
31/03/2018  15:43:17;26.229
31/03/2018  15:45:17;33.043
31/03/2018  15:49:17;33.043
31/03/2018  15:51:17;34.607
31/03/2018  16:09:17;42.515
31/03/2018  16:39:17;51.310
31/03/2018  16:49:17;51.117
31/03/2018  16:51:17;49.079
31/03/2018  17:41:17;48.662
31/03/2018  19:41:17;48.506
31/03/2018  21:41:17;48.506
31/03/2018  23:41:17;48.964
01/04/2018  01:39:17;48.808
01/04/2018  03:39:17;49.001
01/04/2018  05:37:17;48.850
01/04/2018  07:37:17;48.850
01/04/2018  09:35:17;48.808
01/04/2018  11:35:17;49.079
01/04/2018  13:33:17;49.235
01/04/2018  15:29:17;49.616
01/04/2018  17:29:17;49.616
01/04/2018  19:29:17;49.538
01/04/2018  21:29:17;49.121
01/04/2018  23:29:17;48.808
02/04/2018  01:27:17;48.808
02/04/2018  03:17:17;48.349
02/04/2018  05:15:17;48.193
02/04/2018  07:15:17;48.078
02/04/2018  09:13:17;48.391
02/04/2018  10:09:17;48.771
02/04/2018  12:07:17;49.121
02/04/2018  13:13:17;49.538
02/04/2018  15:05:17;49.887
02/04/2018  17:05:17;50.043
02/04/2018  19:03:17;50.346
