
Time;HVI877X
23/03/2018  15:45:19;45.075
23/03/2018  17:45:15;44.586
23/03/2018  18:11:41;44.111
23/03/2018  18:23:53;44.456
23/03/2018  18:24:54;45.218
23/03/2018  18:25:55;44.181
23/03/2018  18:37:06;44.700
23/03/2018  19:04:33;44.827
23/03/2018  19:05:34;45.640
23/03/2018  19:09:38;44.683
23/03/2018  19:12:41;45.426
23/03/2018  21:12:39;45.527
23/03/2018  21:43:09;44.797
23/03/2018  21:57:23;44.570
23/03/2018  21:58:24;45.670
23/03/2018  22:01:27;44.910
23/03/2018  22:14:40;45.308
23/03/2018  23:16:41;45.235
23/03/2018  23:17:42;46.065
23/03/2018  23:22:47;45.708
23/03/2018  23:54:18;45.916
24/03/2018  01:54:16;45.916
24/03/2018  02:14:36;46.078
24/03/2018  02:15:37;45.165
24/03/2018  02:24:46;45.929
24/03/2018  02:37:59;45.702
24/03/2018  03:48:08;46.075
24/03/2018  05:02:21;46.694
24/03/2018  05:26:45;47.245
24/03/2018  05:42:00;47.002
24/03/2018  05:43:01;46.024
24/03/2018  05:48:06;46.286
24/03/2018  05:54:12;46.953
24/03/2018  06:41:59;47.148
24/03/2018  07:50:06;46.454
24/03/2018  07:51:07;46.256
24/03/2018  07:52:08;47.570
24/03/2018  07:56:12;47.180
24/03/2018  08:25:41;46.921
24/03/2018  08:26:42;46.137
24/03/2018  08:27:43;47.323
24/03/2018  08:29:45;46.467
24/03/2018  08:37:53;46.516
24/03/2018  08:39:55;47.748
24/03/2018  08:41:57;46.737
24/03/2018  08:59:14;46.043
24/03/2018  09:26:41;46.292
24/03/2018  09:27:42;45.281
24/03/2018  09:31:46;45.821
24/03/2018  09:46:00;45.278
24/03/2018  09:59:13;45.243
24/03/2018  10:00:14;49.964
24/03/2018  10:35:49;49.840
24/03/2018  10:36:50;49.040
24/03/2018  10:37:51;49.802
24/03/2018  11:01:14;49.429
24/03/2018  11:13:26;49.512
24/03/2018  11:14:27;48.667
24/03/2018  11:16:29;49.140
24/03/2018  12:36:48;49.123
24/03/2018  12:37:49;48.364
24/03/2018  12:49:00;48.912
24/03/2018  13:16:27;48.575
24/03/2018  13:51:01;49.191
24/03/2018  13:52:02;47.797
24/03/2018  13:55:05;47.970
24/03/2018  14:06:16;48.470
24/03/2018  15:35:44;48.377
24/03/2018  15:36:45;49.237
24/03/2018  15:45:54;48.575
24/03/2018  16:29:37;48.413
24/03/2018  16:30:38;49.364
24/03/2018  16:34:42;48.672
24/03/2018  16:45:53;48.708
24/03/2018  16:46:54;49.550
24/03/2018  16:57:04;49.305
24/03/2018  16:59:06;48.961
24/03/2018  17:02:09;48.170
24/03/2018  17:04:11;48.988
24/03/2018  18:44:50;49.496
24/03/2018  19:24:29;50.034
24/03/2018  19:34:39;49.310
24/03/2018  20:07:11;49.285
24/03/2018  20:08:12;50.112
24/03/2018  21:08:11;50.537
24/03/2018  21:20:23;50.553
24/03/2018  21:21:24;49.672
24/03/2018  21:24:27;50.807
24/03/2018  21:25:28;49.856
24/03/2018  21:27:30;51.218
24/03/2018  21:29:32;50.123
24/03/2018  21:35:38;50.712
24/03/2018  22:03:05;50.402
24/03/2018  22:35:37;49.702
24/03/2018  22:38:40;50.451
24/03/2018  22:41:43;49.899
24/03/2018  22:54:56;49.556
24/03/2018  22:57:59;50.099
24/03/2018  23:05:06;49.721
24/03/2018  23:07:08;50.110
24/03/2018  23:34:35;49.872
25/03/2018  01:08:07;50.515
25/03/2018  01:14:13;50.756
25/03/2018  01:15:14;49.691
25/03/2018  01:17:16;49.956
