
"Time";"HTI889A";
"13/03/2018  17:57:55";"59,016";
"13/03/2018  19:57:53";"59,016";
"13/03/2018  21:57:53";"58,865";
"13/03/2018  23:57:53";"58,823";
"14/03/2018  01:55:53";"58,823";
"14/03/2018  03:53:53";"58,979";
"14/03/2018  05:53:53";"59,130";
"14/03/2018  06:43:53";"58,823";
"14/03/2018  08:43:53";"59,016";
"14/03/2018  10:43:53";"59,287";
"14/03/2018  12:41:53";"59,329";
"14/03/2018  14:39:53";"59,600";
"14/03/2018  16:39:53";"59,480";
"14/03/2018  17:37:53";"59,130";
"14/03/2018  19:35:53";"58,979";
"14/03/2018  21:35:53";"58,979";
"14/03/2018  22:09:53";"59,172";
"15/03/2018  00:09:53";"59,016";
"15/03/2018  00:49:53";"58,823";
"15/03/2018  02:47:53";"58,666";
"15/03/2018  02:57:53";"58,938";
"15/03/2018  03:31:53";"59,287";
"15/03/2018  05:31:53";"59,287";
"15/03/2018  07:29:53";"59,746";
"15/03/2018  08:03:53";"59,443";
"15/03/2018  10:03:53";"59,746";
"15/03/2018  12:01:53";"59,443";
"15/03/2018  14:01:53";"59,402";
"15/03/2018  15:59:53";"59,600";
"15/03/2018  16:43:53";"59,287";
"15/03/2018  18:43:53";"59,172";
"15/03/2018  20:43:53";"59,287";
"15/03/2018  22:41:53";"59,130";
"16/03/2018  00:41:53";"59,480";
"16/03/2018  01:49:53";"59,130";
"16/03/2018  03:49:53";"59,172";
"16/03/2018  05:31:53";"58,979";
"16/03/2018  07:31:53";"58,979";
"16/03/2018  09:31:53";"58,708";
"16/03/2018  11:29:53";"58,865";
"16/03/2018  13:19:53";"59,329";
"16/03/2018  15:19:53";"59,558";
"16/03/2018  17:17:53";"59,746";
"16/03/2018  18:53:53";"59,480";
"16/03/2018  20:49:53";"59,094";
"16/03/2018  22:47:53";"58,786";
"16/03/2018  22:57:53";"59,130";
"17/03/2018  00:55:53";"59,094";
"17/03/2018  01:37:53";"58,823";
"17/03/2018  03:35:53";"58,359";
"17/03/2018  03:45:53";"58,515";
"17/03/2018  05:45:53";"58,666";
"17/03/2018  07:43:53";"58,865";
"17/03/2018  07:53:53";"58,708";
"17/03/2018  09:53:53";"58,708";
"17/03/2018  11:51:53";"59,016";
"17/03/2018  13:49:53";"59,172";
"17/03/2018  14:29:53";"59,016";
"17/03/2018  16:27:53";"58,979";
"17/03/2018  18:25:53";"58,979";
"17/03/2018  20:23:53";"58,823";
"17/03/2018  22:23:53";"58,552";
"17/03/2018  22:35:53";"58,938";
"18/03/2018  00:35:53";"58,979";
"18/03/2018  01:15:53";"58,823";
"18/03/2018  03:13:53";"58,515";
"18/03/2018  05:13:53";"58,552";
"18/03/2018  07:11:53";"58,552";
"18/03/2018  09:11:53";"58,395";
"18/03/2018  11:09:53";"58,666";
"18/03/2018  13:09:53";"58,515";
"18/03/2018  14:59:53";"58,708";
"18/03/2018  16:59:53";"58,515";
"18/03/2018  18:57:53";"58,249";
"18/03/2018  20:57:53";"58,202";
"18/03/2018  22:57:53";"58,202";
"19/03/2018  00:55:53";"58,088";
"19/03/2018  01:31:53";"58,552";
"19/03/2018  03:31:53";"58,552";
"19/03/2018  05:29:53";"58,395";
"19/03/2018  07:29:53";"58,359";
"19/03/2018  09:27:53";"58,202";
"19/03/2018  10:51:53";"58,666";
"19/03/2018  12:51:53";"59,016";
"19/03/2018  13:35:53";"58,823";
"19/03/2018  13:39:53";"57,900";
"19/03/2018  13:51:53";"57,394";
"19/03/2018  14:47:53";"57,587";
"19/03/2018  14:53:53";"58,865";
"19/03/2018  16:53:53";"58,865";
"19/03/2018  18:53:53";"58,515";
"19/03/2018  20:51:53";"58,166";
"19/03/2018  22:49:53";"58,088";
"20/03/2018  00:47:53";"58,088";
"20/03/2018  01:53:53";"57,900";
"20/03/2018  03:53:53";"58,249";
"20/03/2018  05:51:53";"58,057";
"20/03/2018  07:51:53";"58,057";
"20/03/2018  09:49:53";"58,088";
"20/03/2018  11:47:53";"58,088";
"20/03/2018  12:55:53";"57,629";
"20/03/2018  14:55:53";"57,785";
"20/03/2018  16:55:53";"57,473";
"20/03/2018  18:55:53";"57,629";
"20/03/2018  20:53:53";"57,707";
"20/03/2018  22:51:53";"57,785";
"21/03/2018  00:51:53";"57,900";
"21/03/2018  01:11:53";"57,551";
"21/03/2018  03:11:53";"57,551";
"21/03/2018  05:09:53";"57,551";
"21/03/2018  06:43:53";"57,900";
"21/03/2018  08:37:53";"57,707";
"21/03/2018  10:37:53";"57,853";
"21/03/2018  11:11:53";"57,473";
"21/03/2018  11:35:53";"57,123";
"21/03/2018  13:35:53";"56,816";
"21/03/2018  15:35:53";"56,503";
"21/03/2018  17:33:53";"56,659";
