
"Time";"HTI887";
"13/03/2018  17:57:55";"57,785";
"13/03/2018  19:57:53";"57,785";
"13/03/2018  21:57:53";"57,629";
"13/03/2018  23:57:53";"57,587";
"14/03/2018  01:55:53";"57,744";
"14/03/2018  03:53:53";"57,587";
"14/03/2018  05:53:53";"57,900";
"14/03/2018  07:01:53";"57,436";
"14/03/2018  09:01:53";"57,744";
"14/03/2018  10:59:53";"57,900";
"14/03/2018  12:59:53";"58,088";
"14/03/2018  14:31:53";"58,474";
"14/03/2018  16:29:53";"58,552";
"14/03/2018  17:07:53";"58,088";
"14/03/2018  19:07:53";"57,931";
"14/03/2018  21:07:53";"57,900";
"14/03/2018  23:07:53";"57,900";
"15/03/2018  00:21:53";"57,629";
"15/03/2018  02:21:53";"57,785";
"15/03/2018  03:59:53";"58,088";
"15/03/2018  05:59:53";"58,166";
"15/03/2018  07:13:53";"58,359";
"15/03/2018  09:13:53";"58,359";
"15/03/2018  11:13:53";"58,474";
"15/03/2018  13:11:53";"58,708";
"15/03/2018  13:49:53";"58,328";
"15/03/2018  15:49:53";"58,328";
"15/03/2018  17:49:53";"58,088";
"15/03/2018  19:47:53";"57,931";
"15/03/2018  21:45:53";"58,088";
"15/03/2018  23:43:53";"58,057";
"16/03/2018  01:43:53";"58,057";
"16/03/2018  03:41:53";"58,088";
"16/03/2018  04:49:53";"57,744";
"16/03/2018  06:49:53";"57,629";
"16/03/2018  08:49:53";"58,088";
"16/03/2018  10:47:53";"58,088";
"16/03/2018  12:45:53";"58,202";
"16/03/2018  14:45:53";"58,395";
"16/03/2018  16:43:53";"58,515";
"16/03/2018  18:43:53";"58,552";
"16/03/2018  19:27:53";"58,328";
"16/03/2018  20:19:53";"58,057";
"16/03/2018  22:19:53";"57,900";
"17/03/2018  00:19:53";"57,822";
"17/03/2018  01:37:53";"57,436";
"17/03/2018  03:35:53";"57,280";
"17/03/2018  05:33:53";"57,316";
"17/03/2018  07:33:53";"57,436";
"17/03/2018  09:33:53";"57,473";
"17/03/2018  11:31:53";"57,473";
"17/03/2018  13:27:53";"57,785";
"17/03/2018  15:27:53";"57,473";
"17/03/2018  17:25:53";"57,473";
"17/03/2018  19:25:53";"57,436";
"17/03/2018  21:23:53";"57,436";
"17/03/2018  23:23:53";"57,551";
"18/03/2018  01:21:53";"57,436";
"18/03/2018  03:21:53";"57,394";
"18/03/2018  05:19:53";"57,165";
"18/03/2018  07:17:53";"57,280";
"18/03/2018  09:17:53";"57,436";
"18/03/2018  11:17:53";"57,280";
"18/03/2018  13:15:53";"57,280";
"18/03/2018  15:15:53";"57,316";
"18/03/2018  17:13:53";"57,165";
"18/03/2018  19:13:53";"57,123";
"18/03/2018  21:13:53";"56,816";
"18/03/2018  23:13:53";"56,930";
"19/03/2018  01:13:53";"57,009";
"19/03/2018  03:11:53";"57,123";
"19/03/2018  05:11:53";"57,009";
"19/03/2018  07:11:53";"57,009";
"19/03/2018  09:11:53";"57,009";
"19/03/2018  11:11:53";"57,473";
"19/03/2018  13:11:53";"57,587";
"19/03/2018  13:35:53";"57,436";
"19/03/2018  13:37:53";"56,852";
"19/03/2018  14:47:53";"56,659";
"19/03/2018  14:49:53";"57,587";
"19/03/2018  16:47:53";"57,629";
"19/03/2018  18:47:53";"57,280";
"19/03/2018  20:45:53";"56,972";
"19/03/2018  22:43:53";"57,009";
