
"Time";"HTI886";
"14/03/2018  17:35:53";"70,278";
"14/03/2018  17:37:53";"69,508";
"14/03/2018  17:41:53";"70,434";
"14/03/2018  17:43:53";"69,659";
"14/03/2018  17:47:53";"70,122";
"14/03/2018  17:55:53";"70,166";
"14/03/2018  17:57:53";"69,508";
"14/03/2018  17:59:53";"70,322";
"14/03/2018  18:05:53";"70,005";
"14/03/2018  18:07:53";"69,386";
"14/03/2018  18:09:53";"70,434";
"14/03/2018  18:11:53";"69,859";
"14/03/2018  18:17:53";"69,542";
"14/03/2018  18:19:53";"70,785";
"14/03/2018  18:23:53";"70,595";
"14/03/2018  18:27:53";"69,971";
"14/03/2018  18:33:53";"70,166";
"14/03/2018  18:35:53";"69,347";
"14/03/2018  18:43:53";"70,278";
"14/03/2018  18:45:53";"69,508";
"14/03/2018  18:47:53";"70,278";
"14/03/2018  18:53:53";"69,971";
"14/03/2018  19:03:53";"70,005";
"14/03/2018  19:05:53";"69,386";
"14/03/2018  19:07:53";"70,005";
"14/03/2018  19:31:53";"70,122";
"14/03/2018  19:33:53";"69,191";
"14/03/2018  19:35:53";"69,971";
"14/03/2018  19:59:53";"69,971";
"14/03/2018  20:01:53";"69,347";
"14/03/2018  20:07:53";"69,347";
"14/03/2018  20:09:53";"69,927";
"14/03/2018  20:19:53";"70,166";
"14/03/2018  20:21:53";"69,347";
"14/03/2018  20:23:53";"69,971";
"14/03/2018  20:29:53";"69,776";
"14/03/2018  20:37:53";"69,815";
"14/03/2018  20:57:53";"69,815";
"14/03/2018  20:59:53";"69,313";
"14/03/2018  21:05:53";"69,347";
"14/03/2018  21:07:53";"70,122";
"14/03/2018  21:17:53";"70,122";
"14/03/2018  21:19:53";"69,313";
"14/03/2018  21:21:53";"70,088";
"14/03/2018  21:25:53";"69,659";
"14/03/2018  21:29:53";"69,001";
"14/03/2018  21:31:53";"69,815";
"14/03/2018  22:03:53";"69,698";
"14/03/2018  22:05:53";"70,322";
"14/03/2018  22:15:53";"69,859";
"14/03/2018  22:25:53";"69,971";
"14/03/2018  22:27:53";"69,191";
"14/03/2018  22:29:53";"69,971";
