
"Time";"HTI884A";
"15/03/2018  00:27:53";"70,595";
"15/03/2018  00:33:53";"70,595";
"15/03/2018  00:35:53";"71,210";
"15/03/2018  00:39:53";"71,210";
"15/03/2018  00:41:53";"70,470";
"15/03/2018  00:43:53";"71,095";
"15/03/2018  00:51:53";"70,438";
"15/03/2018  00:57:53";"70,595";
"15/03/2018  01:01:53";"70,438";
"15/03/2018  01:03:53";"71,523";
"15/03/2018  01:05:53";"70,902";
"15/03/2018  01:17:53";"70,939";
"15/03/2018  01:19:53";"70,324";
"15/03/2018  01:35:53";"71,059";
"15/03/2018  01:47:53";"70,902";
"15/03/2018  01:49:53";"70,277";
"15/03/2018  01:51:53";"71,059";
"15/03/2018  02:15:53";"71,059";
"15/03/2018  02:17:53";"70,324";
"15/03/2018  02:21:53";"71,095";
"15/03/2018  02:35:53";"71,366";
"15/03/2018  02:37:53";"70,595";
"15/03/2018  02:39:53";"71,408";
"15/03/2018  02:41:53";"70,902";
"15/03/2018  03:45:53";"70,746";
"15/03/2018  03:47:53";"71,523";
"15/03/2018  03:53:53";"71,408";
"15/03/2018  04:07:53";"71,366";
"15/03/2018  04:11:53";"71,366";
"15/03/2018  04:13:53";"70,595";
"15/03/2018  04:15:53";"71,252";
"15/03/2018  04:41:53";"71,210";
"15/03/2018  05:39:53";"70,866";
"15/03/2018  05:41:53";"70,709";
"15/03/2018  05:43:53";"71,481";
"15/03/2018  05:45:53";"70,866";
"15/03/2018  05:47:53";"71,481";
"15/03/2018  06:07:53";"71,288";
"15/03/2018  06:09:53";"70,709";
"15/03/2018  06:11:53";"71,481";
"15/03/2018  07:05:53";"71,523";
"15/03/2018  07:07:53";"70,902";
"15/03/2018  07:09:53";"71,679";
"15/03/2018  07:33:53";"71,523";
"15/03/2018  07:39:53";"71,481";
"15/03/2018  08:03:53";"71,210";
"15/03/2018  08:23:53";"71,095";
"15/03/2018  08:25:53";"71,716";
"15/03/2018  08:39:53";"71,059";
"15/03/2018  08:43:53";"70,902";
"15/03/2018  08:45:53";"71,830";
"15/03/2018  08:47:53";"71,210";
"15/03/2018  08:53:53";"71,210";
"15/03/2018  08:55:53";"71,830";
"15/03/2018  08:57:53";"71,095";
"15/03/2018  09:03:53";"70,939";
"15/03/2018  09:05:53";"71,679";
"15/03/2018  09:29:53";"71,679";
"15/03/2018  09:31:53";"71,059";
"15/03/2018  09:33:53";"71,679";
"15/03/2018  10:27:53";"71,637";
"15/03/2018  11:25:53";"71,523";
"15/03/2018  11:27:53";"70,902";
"15/03/2018  11:29:53";"71,637";
"15/03/2018  11:53:53";"71,481";
"15/03/2018  13:03:53";"71,330";
"15/03/2018  13:05:53";"71,987";
"15/03/2018  13:19:53";"71,679";
"15/03/2018  13:23:53";"71,173";
"15/03/2018  13:33:53";"71,481";
"15/03/2018  13:49:53";"71,330";
"15/03/2018  14:17:53";"71,288";
"15/03/2018  14:29:53";"71,173";
"15/03/2018  14:31:53";"71,794";
"15/03/2018  14:39:53";"71,173";
"15/03/2018  14:59:53";"71,288";
"15/03/2018  15:01:53";"71,794";
"15/03/2018  15:07:53";"71,173";
"15/03/2018  15:31:53";"71,366";
"15/03/2018  15:43:53";"71,330";
"15/03/2018  16:13:53";"71,210";
"15/03/2018  16:41:53";"71,210";
"15/03/2018  16:43:53";"70,595";
"15/03/2018  16:47:53";"71,210";
"15/03/2018  16:49:53";"70,631";
"15/03/2018  16:51:53";"71,366";
"15/03/2018  17:11:53";"71,095";
"15/03/2018  17:23:53";"70,902";
"15/03/2018  17:25:53";"71,679";
"15/03/2018  17:27:53";"71,059";
"15/03/2018  17:47:53";"70,788";
"15/03/2018  17:49:53";"71,559";
"15/03/2018  17:51:53";"70,939";
"15/03/2018  17:55:53";"71,210";
"15/03/2018  18:09:53";"70,902";
"15/03/2018  18:15:53";"70,746";
"15/03/2018  18:17:53";"71,408";
"15/03/2018  18:27:53";"71,559";
"15/03/2018  18:29:53";"70,788";
"15/03/2018  18:31:53";"71,408";
"15/03/2018  18:39:53";"70,595";
"15/03/2018  18:41:53";"71,252";
"15/03/2018  19:11:53";"71,366";
"15/03/2018  19:13:53";"70,746";
"15/03/2018  19:19:53";"71,210";
"15/03/2018  19:35:53";"71,059";
"15/03/2018  19:37:53";"70,438";
"15/03/2018  19:39:53";"71,366";
"15/03/2018  20:03:53";"71,366";
"15/03/2018  20:05:53";"70,631";
"15/03/2018  20:09:53";"71,252";
"15/03/2018  20:33:53";"70,939";
"15/03/2018  20:35:53";"70,470";
"15/03/2018  20:37:53";"71,559";
"15/03/2018  20:47:53";"71,366";
"15/03/2018  21:01:53";"71,366";
"15/03/2018  21:03:53";"70,595";
"15/03/2018  21:07:53";"71,366";
"15/03/2018  21:25:53";"71,523";
"15/03/2018  21:27:53";"70,746";
"15/03/2018  21:37:53";"71,059";
"15/03/2018  21:47:53";"71,252";
"15/03/2018  21:59:53";"71,210";
"15/03/2018  22:01:53";"70,438";
"15/03/2018  22:03:53";"71,366";
"15/03/2018  22:27:53";"71,408";
"15/03/2018  22:29:53";"70,788";
"15/03/2018  22:47:53";"71,408";
"15/03/2018  22:49:53";"70,746";
"15/03/2018  22:51:53";"71,559";
"15/03/2018  22:57:53";"71,252";
"15/03/2018  22:59:53";"70,470";
"15/03/2018  23:01:53";"71,408";
"15/03/2018  23:15:53";"71,523";
"15/03/2018  23:17:53";"70,902";
"15/03/2018  23:19:53";"71,559";
"15/03/2018  23:29:53";"71,059";
"15/03/2018  23:41:53";"71,366";
"16/03/2018  01:21:53";"71,252";
"16/03/2018  01:45:53";"71,366";
"16/03/2018  01:47:53";"70,746";
"16/03/2018  01:57:53";"70,595";
"16/03/2018  01:59:53";"71,366";
"16/03/2018  02:19:53";"71,059";
"16/03/2018  02:21:53";"70,470";
"16/03/2018  02:23:53";"71,408";
"16/03/2018  02:47:53";"71,252";
"16/03/2018  03:17:53";"70,788";
"16/03/2018  03:29:53";"71,095";
"16/03/2018  03:45:53";"71,095";
"16/03/2018  03:47:53";"70,470";
"16/03/2018  03:49:53";"71,408";
"16/03/2018  03:53:53";"70,902";
"16/03/2018  03:57:53";"70,746";
"16/03/2018  03:59:53";"71,523";
"16/03/2018  04:03:53";"71,523";
"16/03/2018  04:05:53";"70,902";
"16/03/2018  04:13:53";"71,095";
"16/03/2018  04:43:53";"70,939";
"16/03/2018  05:41:53";"70,631";
"16/03/2018  05:53:53";"70,470";
"16/03/2018  05:55:53";"71,408";
"16/03/2018  05:57:53";"70,746";
"16/03/2018  05:59:53";"71,252";
"16/03/2018  06:05:53";"70,939";
"16/03/2018  06:07:53";"70,324";
"16/03/2018  06:17:53";"70,277";
"16/03/2018  06:19:53";"70,902";
"16/03/2018  06:29:53";"70,939";
"16/03/2018  06:31:53";"70,277";
"16/03/2018  06:33:53";"71,173";
"16/03/2018  06:35:53";"70,553";
"16/03/2018  06:41:53";"70,120";
"16/03/2018  06:43:53";"71,095";
"16/03/2018  06:49:53";"70,939";
"16/03/2018  07:07:53";"70,939";
"16/03/2018  07:09:53";"70,324";
"16/03/2018  07:13:53";"71,059";
"16/03/2018  07:15:53";"70,470";
"16/03/2018  07:17:53";"71,059";
"16/03/2018  07:37:53";"70,788";
"16/03/2018  08:13:53";"70,902";
"16/03/2018  08:15:53";"71,523";
"16/03/2018  08:17:53";"70,939";
"16/03/2018  08:19:53";"71,559";
"16/03/2018  08:37:53";"70,324";
"16/03/2018  08:39:53";"71,210";
"16/03/2018  08:41:53";"70,631";
"16/03/2018  08:43:53";"71,408";
"16/03/2018  08:53:53";"71,252";
"16/03/2018  08:55:53";"70,631";
"16/03/2018  08:57:53";"71,252";
"16/03/2018  09:01:53";"70,631";
"16/03/2018  10:35:53";"70,595";
"16/03/2018  10:37:53";"71,210";
"16/03/2018  10:41:53";"71,059";
"16/03/2018  10:51:53";"70,595";
"16/03/2018  11:01:53";"70,866";
"16/03/2018  11:29:53";"70,631";
"16/03/2018  11:31:53";"71,366";
"16/03/2018  11:35:53";"71,210";
"16/03/2018  11:37:53";"70,595";
"16/03/2018  11:39:53";"71,210";
"16/03/2018  11:47:53";"70,438";
"16/03/2018  11:49:53";"71,017";
"16/03/2018  11:51:53";"70,438";
"16/03/2018  11:55:53";"70,595";
"16/03/2018  12:23:53";"70,595";
"16/03/2018  12:25:53";"71,210";
"16/03/2018  12:39:53";"70,902";
"16/03/2018  13:13:53";"71,059";
"16/03/2018  13:21:53";"71,523";
"16/03/2018  13:35:53";"71,095";
"16/03/2018  13:47:53";"71,095";
"16/03/2018  13:49:53";"71,716";
"16/03/2018  14:03:53";"71,559";
"16/03/2018  14:05:53";"71,059";
"16/03/2018  14:11:53";"71,252";
"16/03/2018  16:11:53";"71,095";
"16/03/2018  16:13:53";"72,023";
"16/03/2018  16:17:53";"71,679";
"16/03/2018  16:29:53";"71,210";
"16/03/2018  16:45:53";"71,559";
"16/03/2018  16:57:53";"71,408";
"16/03/2018  17:25:53";"71,559";
"16/03/2018  17:27:53";"70,902";
"16/03/2018  17:41:53";"71,716";
"16/03/2018  17:53:53";"71,252";
"16/03/2018  18:07:53";"71,252";
"16/03/2018  18:09:53";"71,872";
"16/03/2018  18:19:53";"71,559";
"16/03/2018  18:25:53";"71,059";
"16/03/2018  18:29:53";"71,559";
"16/03/2018  18:31:53";"70,939";
"16/03/2018  18:33:53";"71,716";
"16/03/2018  18:43:53";"71,716";
"16/03/2018  18:45:53";"70,939";
"16/03/2018  18:47:53";"71,716";
"16/03/2018  18:55:53";"70,939";
"16/03/2018  19:01:53";"71,252";
"16/03/2018  20:03:53";"71,173";
"16/03/2018  20:05:53";"71,830";
"16/03/2018  20:09:53";"71,523";
"16/03/2018  20:11:53";"71,017";
"16/03/2018  20:15:53";"71,523";
"16/03/2018  20:21:53";"70,746";
"16/03/2018  20:25:53";"71,523";
"16/03/2018  20:43:53";"71,637";
"16/03/2018  20:45:53";"71,017";
"16/03/2018  21:09:53";"71,017";
"16/03/2018  21:11:53";"71,679";
"16/03/2018  21:15:53";"71,059";
"16/03/2018  21:17:53";"71,210";
"16/03/2018  21:19:53";"70,553";
"16/03/2018  21:21:53";"71,330";
"16/03/2018  22:15:53";"71,095";
"16/03/2018  22:17:53";"70,470";
"16/03/2018  22:19:53";"71,210";
"16/03/2018  22:35:53";"71,210";
"16/03/2018  23:13:53";"70,746";
"16/03/2018  23:19:53";"71,059";
"17/03/2018  00:51:53";"70,902";
