
"Time";"HTI879A";
"13/03/2018  17:57:55";"51,312";
"13/03/2018  19:57:53";"51,152";
"13/03/2018  21:57:53";"50,847";
"13/03/2018  23:57:53";"50,694";
"14/03/2018  01:55:53";"50,847";
"14/03/2018  03:53:53";"50,694";
"14/03/2018  05:53:53";"50,847";
"14/03/2018  06:59:53";"50,389";
"14/03/2018  08:57:53";"50,847";
"14/03/2018  10:57:53";"51,347";
"14/03/2018  12:55:53";"51,499";
"14/03/2018  14:03:53";"51,770";
"14/03/2018  16:03:53";"52,117";
"14/03/2018  18:03:53";"51,805";
"14/03/2018  19:39:53";"51,312";
"14/03/2018  20:47:53";"50,882";
"14/03/2018  21:35:53";"51,152";
"14/03/2018  23:23:53";"50,847";
"15/03/2018  00:29:53";"50,389";
"15/03/2018  02:27:53";"50,583";
"15/03/2018  03:37:53";"51,007";
"15/03/2018  05:35:53";"51,347";
"15/03/2018  07:33:53";"51,617";
"15/03/2018  08:49:53";"51,499";
"15/03/2018  10:01:53";"51,964";
"15/03/2018  11:59:53";"51,964";
"15/03/2018  13:59:53";"51,659";
"15/03/2018  14:23:53";"51,964";
"15/03/2018  16:21:53";"52,117";
"15/03/2018  17:49:53";"51,770";
"15/03/2018  19:47:53";"51,465";
"15/03/2018  21:45:53";"51,312";
"15/03/2018  21:53:53";"51,465";
"15/03/2018  23:53:53";"51,465";
"16/03/2018  01:53:53";"51,465";
"16/03/2018  03:51:53";"51,312";
"16/03/2018  04:45:53";"50,847";
"16/03/2018  06:45:53";"50,535";
"16/03/2018  07:35:53";"50,847";
"16/03/2018  08:51:53";"51,152";
"16/03/2018  10:51:53";"51,194";
"16/03/2018  12:23:53";"51,659";
"16/03/2018  14:23:53";"51,930";
"16/03/2018  16:23:53";"51,770";
"16/03/2018  16:51:53";"51,964";
"16/03/2018  18:51:53";"51,930";
"16/03/2018  20:05:53";"51,617";
"16/03/2018  22:05:53";"51,312";
"17/03/2018  00:05:53";"51,152";
"17/03/2018  01:45:53";"50,847";
"17/03/2018  03:39:53";"50,389";
"17/03/2018  05:39:53";"50,389";
"17/03/2018  07:37:53";"50,535";
"17/03/2018  09:37:53";"50,389";
"17/03/2018  11:37:53";"50,389";
"17/03/2018  12:13:53";"50,847";
"17/03/2018  14:11:53";"51,007";
"17/03/2018  16:09:53";"50,847";
"17/03/2018  18:09:53";"50,694";
"17/03/2018  20:07:53";"50,424";
"17/03/2018  22:05:53";"50,424";
"18/03/2018  00:05:53";"50,736";
"18/03/2018  01:21:53";"50,424";
"18/03/2018  03:21:53";"50,118";
"18/03/2018  05:19:53";"49,771";
"18/03/2018  07:17:53";"50,236";
"18/03/2018  09:17:53";"50,271";
"18/03/2018  11:17:53";"50,077";
"18/03/2018  13:15:53";"50,389";
"18/03/2018  15:15:53";"50,535";
"18/03/2018  17:13:53";"50,389";
"18/03/2018  19:13:53";"50,077";
"18/03/2018  21:13:53";"49,771";
"18/03/2018  23:13:53";"49,313";
"19/03/2018  01:09:53";"49,771";
"19/03/2018  03:07:53";"49,618";
"19/03/2018  05:07:53";"49,466";
"19/03/2018  07:05:53";"49,618";
"19/03/2018  09:05:53";"49,618";
"19/03/2018  10:13:53";"50,077";
"19/03/2018  11:47:53";"50,535";
"19/03/2018  13:45:53";"50,389";
"19/03/2018  15:45:53";"50,535";
"19/03/2018  17:45:53";"50,347";
"19/03/2018  19:43:53";"50,236";
"19/03/2018  20:59:53";"49,771";
"19/03/2018  22:59:53";"49,618";
"20/03/2018  00:57:53";"49,618";
"20/03/2018  02:55:53";"49,313";
"20/03/2018  04:55:53";"49,660";
"20/03/2018  06:53:53";"49,931";
"20/03/2018  08:53:53";"49,771";
