
"Time";"HTI889G";
"26/03/2018  08:23:17";"51,117";
"26/03/2018  10:23:17";"51,154";
"26/03/2018  12:21:17";"51,117";
"26/03/2018  13:25:17";"51,581";
"26/03/2018  15:25:17";"51,613";
"26/03/2018  17:23:17";"51,691";
"26/03/2018  19:23:17";"51,581";
"26/03/2018  20:31:17";"51,274";
"26/03/2018  22:29:17";"51,581";
"27/03/2018  00:29:17";"51,581";
"27/03/2018  02:29:17";"51,733";
"27/03/2018  04:29:17";"51,581";
"27/03/2018  06:27:17";"51,613";
"27/03/2018  08:25:17";"51,467";
"27/03/2018  10:21:17";"51,926";
"27/03/2018  12:21:17";"52,155";
"27/03/2018  14:19:17";"52,233";
"27/03/2018  16:19:17";"52,343";
"27/03/2018  18:19:17";"52,197";
"27/03/2018  19:17:17";"51,806";
"27/03/2018  21:17:17";"51,806";
"27/03/2018  23:15:17";"51,847";
"28/03/2018  01:15:17";"52,155";
"28/03/2018  03:15:17";"52,311";
"28/03/2018  05:15:17";"52,082";
"28/03/2018  06:03:17";"52,655";
"28/03/2018  08:03:17";"52,343";
"28/03/2018  10:03:17";"52,499";
"28/03/2018  12:01:17";"52,812";
"28/03/2018  14:01:17";"53,276";
"28/03/2018  15:59:17";"53,276";
"28/03/2018  17:59:17";"53,234";
"28/03/2018  19:57:17";"53,119";
"28/03/2018  21:57:17";"52,770";
"28/03/2018  23:57:17";"52,655";
"29/03/2018  01:55:17";"52,499";
"29/03/2018  03:55:17";"52,197";
"29/03/2018  05:55:17";"52,155";
"29/03/2018  07:53:17";"52,233";
"29/03/2018  09:53:17";"52,390";
"29/03/2018  11:51:17";"52,546";
"29/03/2018  13:49:17";"52,812";
"29/03/2018  15:03:17";"53,234";
"29/03/2018  15:39:17";"53,578";
"29/03/2018  17:39:17";"53,693";
"29/03/2018  17:43:17";"53,693";
"29/03/2018  17:47:17";"49,235";
"29/03/2018  17:51:17";"47,697";
"29/03/2018  18:03:17";"44,319";
"29/03/2018  18:13:17";"44,048";
"29/03/2018  18:25:17";"42,713";
"29/03/2018  19:11:17";"38,538";
"29/03/2018  19:17:17";"38,193";
"29/03/2018  19:23:17";"37,735";
"29/03/2018  19:39:17";"36,708";
"29/03/2018  19:49:17";"36,244";
"29/03/2018  20:05:17";"35,138";
"29/03/2018  20:15:17";"34,648";
"29/03/2018  20:33:17";"33,960";
"29/03/2018  20:45:17";"33,616";
"29/03/2018  20:59:17";"33,194";
"29/03/2018  21:13:17";"32,777";
"29/03/2018  21:27:17";"32,391";
"29/03/2018  21:45:17";"32,010";
"29/03/2018  22:07:17";"31,520";
