
"Time";"HTI878";
"24/03/2018  13:51:17";"44,627";
"24/03/2018  15:51:17";"44,663";
"24/03/2018  17:51:17";"44,361";
"24/03/2018  19:51:17";"44,204";
"24/03/2018  21:51:17";"44,048";
"24/03/2018  23:49:17";"44,204";
"25/03/2018  01:49:17";"44,397";
"25/03/2018  04:47:17";"44,361";
"25/03/2018  06:33:17";"43,939";
"25/03/2018  08:33:17";"44,204";
"25/03/2018  10:31:17";"44,048";
"25/03/2018  12:31:17";"44,048";
"25/03/2018  14:29:17";"44,204";
"25/03/2018  16:29:17";"43,860";
"25/03/2018  18:27:17";"43,902";
"25/03/2018  20:27:17";"44,017";
"25/03/2018  21:13:17";"44,246";
"25/03/2018  23:11:17";"44,554";
"26/03/2018  01:11:17";"44,554";
"26/03/2018  03:11:17";"44,246";
"26/03/2018  03:59:17";"43,860";
"26/03/2018  04:23:17";"43,746";
"26/03/2018  04:25:17";"43,245";
"26/03/2018  06:25:17";"43,480";
"26/03/2018  08:23:17";"43,746";
"26/03/2018  10:23:17";"43,782";
"26/03/2018  11:05:17";"43,402";
"26/03/2018  12:01:17";"43,709";
"26/03/2018  13:11:17";"44,048";
"26/03/2018  15:09:17";"44,204";
"26/03/2018  17:09:17";"44,204";
"26/03/2018  19:09:17";"44,204";
"26/03/2018  21:09:17";"44,204";
"26/03/2018  23:07:17";"43,902";
"26/03/2018  23:45:17";"44,361";
"27/03/2018  01:45:17";"44,319";
"27/03/2018  03:43:17";"44,246";
"27/03/2018  05:41:17";"44,090";
"27/03/2018  07:41:17";"44,048";
"27/03/2018  09:41:17";"44,017";
"27/03/2018  10:33:17";"44,397";
"27/03/2018  11:37:17";"44,820";
"27/03/2018  13:35:17";"44,778";
"27/03/2018  15:19:17";"44,976";
"27/03/2018  17:19:17";"44,820";
"27/03/2018  19:17:17";"44,439";
"27/03/2018  21:17:17";"44,585";
"27/03/2018  23:15:17";"44,778";
"28/03/2018  01:15:17";"44,627";
"28/03/2018  03:15:17";"44,934";
"28/03/2018  05:15:17";"45,013";
"28/03/2018  07:15:17";"44,741";
"28/03/2018  09:13:17";"44,627";
"28/03/2018  11:01:17";"45,091";
"28/03/2018  13:01:17";"45,091";
"28/03/2018  15:01:17";"45,393";
"28/03/2018  16:59:17";"45,581";
"28/03/2018  18:59:17";"45,357";
"28/03/2018  20:59:17";"44,976";
"28/03/2018  22:57:17";"44,934";
"29/03/2018  00:55:17";"44,663";
"29/03/2018  02:55:17";"44,476";
"29/03/2018  04:55:17";"44,554";
"29/03/2018  06:55:17";"44,517";
"29/03/2018  08:53:17";"44,397";
"29/03/2018  09:59:17";"44,856";
"29/03/2018  11:59:17";"45,013";
"29/03/2018  13:57:17";"44,934";
"29/03/2018  14:43:17";"45,242";
"29/03/2018  15:25:17";"45,581";
"29/03/2018  17:25:17";"45,852";
"29/03/2018  17:47:17";"45,701";
"29/03/2018  17:53:17";"44,778";
"29/03/2018  18:01:17";"43,094";
"29/03/2018  18:05:17";"41,832";
"29/03/2018  18:07:17";"42,025";
"29/03/2018  18:09:17";"42,786";
"29/03/2018  18:15:17";"41,911";
"29/03/2018  18:23:17";"41,030";
"29/03/2018  19:41:17";"35,331";
"29/03/2018  19:53:17";"34,836";
"29/03/2018  20:13:17";"33,726";
"29/03/2018  20:29:17";"33,345";
"29/03/2018  20:43:17";"32,891";
"29/03/2018  21:03:17";"32,433";
"29/03/2018  21:23:17";"31,786";
"29/03/2018  21:45:17";"31,400";
"29/03/2018  22:07:17";"30,910";
"29/03/2018  22:59:17";"30,300";
"29/03/2018  23:29:17";"29,956";
"30/03/2018  00:17:17";"29,534";
"30/03/2018  01:07:17";"29,122";
"30/03/2018  01:41:17";"28,814";
"30/03/2018  02:17:17";"28,476";
"30/03/2018  03:31:17";"27,980";
"30/03/2018  05:31:17";"27,558";
"30/03/2018  06:35:17";"27,068";
"30/03/2018  08:33:17";"26,948";
"30/03/2018  10:33:17";"27,105";
"30/03/2018  12:09:17";"27,558";
"30/03/2018  13:45:17";"28,012";
"30/03/2018  15:05:17";"28,356";
"30/03/2018  17:05:17";"28,778";
"30/03/2018  19:03:17";"28,966";
"30/03/2018  21:01:17";"28,512";
"30/03/2018  22:59:17";"28,319";
"31/03/2018  00:41:17";"27,902";
"31/03/2018  01:45:17";"27,443";
"31/03/2018  02:41:17";"26,948";
"31/03/2018  04:39:17";"26,682";
"31/03/2018  06:39:17";"26,609";
"31/03/2018  08:39:17";"26,682";
"31/03/2018  10:37:17";"26,839";
"31/03/2018  12:37:17";"26,839";
"31/03/2018  13:21:17";"26,495";
"31/03/2018  13:57:17";"26,004";
"31/03/2018  15:49:17";"25,890";
"31/03/2018  16:07:17";"35,331";
"31/03/2018  16:15:17";"38,506";
"31/03/2018  16:25:17";"42,057";
"31/03/2018  16:37:17";"45,278";
"31/03/2018  16:41:17";"45,894";
"31/03/2018  16:47:17";"45,737";
"31/03/2018  16:55:17";"44,319";
"31/03/2018  18:55:17";"44,204";
"31/03/2018  20:53:17";"44,246";
"31/03/2018  22:51:17";"44,168";
"01/04/2018  00:51:17";"44,361";
"01/04/2018  02:51:17";"44,048";
"01/04/2018  04:49:17";"44,090";
"01/04/2018  06:47:17";"44,048";
"01/04/2018  08:45:17";"44,246";
"01/04/2018  10:45:17";"44,397";
"01/04/2018  12:45:17";"44,517";
"01/04/2018  14:43:17";"44,627";
"01/04/2018  16:43:17";"44,517";
"01/04/2018  18:43:17";"44,663";
"01/04/2018  20:41:17";"44,397";
"01/04/2018  22:39:17";"44,017";
"02/04/2018  00:39:17";"44,048";
"02/04/2018  02:39:17";"44,246";
"02/04/2018  03:29:17";"44,090";
"02/04/2018  05:29:17";"43,939";
"02/04/2018  07:27:17";"43,939";
"02/04/2018  09:27:17";"44,361";
"02/04/2018  11:25:17";"44,090";
"02/04/2018  12:23:17";"44,517";
"02/04/2018  14:23:17";"44,976";
"02/04/2018  16:21:17";"44,976";
"02/04/2018  18:21:17";"45,122";
"02/04/2018  20:19:17";"45,242";
"02/04/2018  22:19:17";"45,278";
"03/04/2018  00:17:17";"45,122";
"03/04/2018  02:17:17";"45,164";
"03/04/2018  04:15:17";"45,278";
"03/04/2018  06:13:17";"45,242";
"03/04/2018  08:13:17";"45,278";
"03/04/2018  10:11:17";"45,278";
"03/04/2018  12:09:17";"45,278";
"03/04/2018  14:09:17";"45,435";
"03/04/2018  16:07:17";"45,278";
"03/04/2018  18:07:17";"45,581";
"03/04/2018  20:05:17";"45,435";
"03/04/2018  22:05:17";"45,628";
"04/04/2018  00:03:17";"45,315";
"04/04/2018  02:03:17";"45,628";
"04/04/2018  04:03:17";"45,471";
"04/04/2018  05:53:17";"44,976";
"04/04/2018  07:51:17";"45,122";
"04/04/2018  09:51:17";"45,315";
"04/04/2018  11:51:17";"45,435";
"04/04/2018  13:49:17";"45,435";
"04/04/2018  15:49:17";"45,581";
"04/04/2018  17:47:17";"45,737";
"04/04/2018  19:23:17";"45,242";
"04/04/2018  21:21:17";"45,091";
"04/04/2018  23:19:17";"45,278";
"05/04/2018  01:19:17";"45,393";
"05/04/2018  03:17:17";"45,242";
"05/04/2018  04:51:17";"44,820";
"05/04/2018  06:51:17";"44,663";
"05/04/2018  08:49:17";"44,778";
"05/04/2018  09:29:17";"45,122";
"05/04/2018  11:29:17";"45,435";
"05/04/2018  13:27:17";"45,550";
"05/04/2018  15:27:17";"45,513";
"05/04/2018  17:27:17";"45,513";
"05/04/2018  19:25:17";"45,200";
"05/04/2018  21:25:17";"44,778";
"05/04/2018  23:23:17";"44,976";
"06/04/2018  01:17:17";"44,627";
"06/04/2018  03:15:17";"44,361";
"06/04/2018  05:13:17";"44,319";
"06/04/2018  07:11:17";"44,476";
"06/04/2018  09:11:17";"44,663";
"06/04/2018  11:09:17";"44,976";
"06/04/2018  13:09:17";"45,122";
"06/04/2018  15:07:17";"45,122";
"06/04/2018  17:07:17";"45,278";
"06/04/2018  19:07:17";"45,164";
"06/04/2018  21:07:17";"45,013";
"06/04/2018  23:05:17";"44,705";
"07/04/2018  01:03:17";"44,554";
"07/04/2018  03:03:17";"44,517";
"07/04/2018  05:01:17";"44,663";
"07/04/2018  06:59:17";"44,705";
"07/04/2018  08:59:17";"44,976";
"07/04/2018  10:59:17";"45,278";
"07/04/2018  12:57:17";"45,278";
"07/04/2018  14:55:17";"45,435";
"07/04/2018  16:53:17";"45,628";
"07/04/2018  18:53:17";"45,435";
"07/04/2018  20:53:17";"45,242";
"07/04/2018  22:51:17";"45,278";
"08/04/2018  00:51:17";"45,315";
"08/04/2018  02:51:17";"45,278";
"08/04/2018  04:49:17";"45,242";
"08/04/2018  06:47:17";"45,242";
"08/04/2018  08:47:17";"45,435";
"08/04/2018  10:47:17";"45,435";
"08/04/2018  12:47:17";"45,550";
"08/04/2018  14:45:17";"45,550";
"08/04/2018  16:43:17";"45,513";
"08/04/2018  18:43:17";"45,581";
"08/04/2018  20:23:17";"45,091";
"08/04/2018  21:31:17";"44,898";
"08/04/2018  22:13:17";"44,517";
"09/04/2018  00:11:17";"44,476";
"09/04/2018  02:11:17";"44,820";
