Time;HFI602
2016-01-01 08:20:00;373.7243243243243
2016-01-01 16:40:00;373.90142180094614
2016-01-02 01:00:00;373.5875634517749
2016-01-02 09:20:00;374.6696000000001
2016-01-02 17:40:00;373.3311004784689
2016-01-03 02:00:00;371.80447761193915
2016-01-03 10:20:00;371.280345572354
2016-01-03 18:40:00;349.4642126789367
2016-01-04 03:00:00;348.0473140495871
2016-01-04 11:20:00;348.89773662551414
2016-01-04 19:40:00;350.07368421052644
2016-01-05 04:00:00;362.9547474747473
2016-01-05 12:20:00;368.0905263157888
2016-01-05 20:40:00;363.94247967479674
2016-01-06 05:00:00;358.70284552845504
2016-01-06 13:20:00;356.36209016393485
2016-01-06 21:40:00;359.19551934826933
2016-01-07 06:00:00;362.52581300813006
2016-01-07 14:20:00;364.8915151515151
2016-01-07 22:40:00;363.967761806982
2016-01-08 07:00:00;366.1743271221532
2016-01-08 15:20:00;370.2073275862059
2016-01-08 23:40:00;367.5591836734686
2016-01-09 08:00:00;371.1788079470201
2016-01-09 16:20:00;375.6317073170733
2016-01-10 00:40:00;376.1122448979591
2016-01-10 09:00:00;375.7605263157898
2016-01-10 17:20:00;376.10166666666726
2016-01-11 01:40:00;365.2945558739256
2016-01-11 10:00:00;353.4655172413793
2016-01-11 18:20:00;339.52135523613987
2016-01-12 02:40:00;327.4846938775509
2016-01-12 11:00:00;322.8437759336097
2016-01-12 19:20:00;313.9060975609753
2016-01-13 03:40:00;309.2893877551021
2016-01-13 12:00:00;319.49668737059994
2016-01-13 20:20:00;307.7674273858922
2016-01-14 04:40:00;304.0147843942503
2016-01-14 13:00:00;299.1748936170213
2016-01-14 21:20:00;298.0495901639346
2016-01-15 05:40:00;293.2587628865977
2016-01-15 14:00:00;283.83416149068313
2016-01-15 22:20:00;281.78270833333323
2016-01-16 06:40:00;286.2466942148762
2016-01-16 15:00:00;281.9929166666664
2016-01-16 23:20:00;281.6279411764708
2016-01-17 07:40:00;282.03786610878694
2016-01-17 16:00:00;280.1679833679834
2016-01-18 00:20:00;283.08432989690704
2016-01-18 08:40:00;283.7663223140498
2016-01-18 17:00:00;283.48991596638683
2016-01-19 01:20:00;284.66291666666655
2016-01-19 09:40:00;282.267708333333
2016-01-19 18:00:00;281.22578616352206
2016-01-20 02:20:00;282.6087682672232
2016-01-20 10:40:00;289.73037190082624
2016-01-20 19:00:00;295.928305785124
2016-01-21 03:20:00;292.7431250000001
2016-01-21 11:40:00;279.0368869936033
2016-01-21 20:00:00;292.99979209979233
2016-01-22 04:20:00;274.90062370062356
2016-01-22 12:40:00;296.41896907216477
2016-01-22 21:00:00;298.03496932515344
2016-01-23 05:20:00;298.27577002053397
2016-01-23 13:40:00;307.8941908713693
2016-01-23 22:00:00;320.2754601226991
2016-01-24 06:20:00;322.4519269776878
2016-01-24 14:40:00;322.6659229208923
2016-01-24 23:00:00;306.0075975359343
2016-01-25 07:20:00;311.57145790554426
2016-01-25 15:40:00;329.87292929292954
2016-01-26 00:00:00;332.3091093117405
2016-01-26 08:20:00;328.72692307692296
2016-01-26 16:40:00;329.7201219512193
2016-01-27 01:00:00;330.3940816326534
2016-01-27 09:20:00;291.5533195020748
2016-01-27 17:40:00;286.9373716632447
2016-01-28 02:00:00;289.11455301455317
2016-01-28 10:20:00;294.2811475409838
2016-01-28 18:40:00;319.49089068825947
2016-01-29 03:00:00;321.8336048879835
2016-01-29 11:20:00;240.25256124721608
2016-01-29 19:40:00;118.00707692307698
2016-01-30 04:00:00;339.2817248459957
2016-01-30 12:20:00;331.09550102249517
2016-01-30 20:40:00;328.7542094455855
2016-01-31 05:00:00;339.22555780933084
2016-01-31 13:20:00;337.85354969574047
2016-01-31 21:40:00;330.16934156378596
2016-02-01 06:00:00;335.55376782077366
2016-02-01 14:20:00;302.50143737166337
2016-02-01 22:40:00;278.09835728952777
2016-02-02 07:00:00;277.46494845360814
2016-02-02 15:20:00;280.89048625792816
2016-02-02 23:40:00;281.1161825726139
2016-02-03 08:00:00;289.6366108786612
2016-02-03 16:20:00;287.54916317991626
2016-02-04 00:40:00;253.07606837606863
2016-02-04 09:00:00;295.9490759753595
2016-02-04 17:20:00;318.84680412371114
2016-02-05 01:40:00;321.7352459016396
2016-02-05 10:00:00;327.7400410677619
2016-02-05 18:20:00;316.943827160494
2016-02-06 02:40:00;319.18780991735514
2016-02-06 11:00:00;327.3708333333334
2016-02-06 19:20:00;323.89008264462797
2016-02-07 03:40:00;318.08703703703696
2016-02-07 12:00:00;302.80164271047227
2016-02-07 20:20:00;276.705749486653
2016-02-08 04:40:00;274.58666666666676
2016-02-08 13:00:00;291.857322175732
2016-02-08 21:20:00;276.13991596638675
2016-02-09 05:40:00;274.3887931034483
2016-02-09 14:00:00;285.9097251585624
2016-02-09 22:20:00;287.82878151260496
2016-02-10 06:40:00;287.33052631578937
2016-02-10 15:00:00;267.3173277661796
2016-02-10 23:20:00;225.6853360488799
2016-02-11 07:40:00;231.563070539419
2016-02-11 16:00:00;273.5629098360656
2016-02-12 00:20:00;275.79039665970765
2016-02-12 08:40:00;275.7020964360588
2016-02-12 17:00:00;273.7242171189979
2016-02-13 01:20:00;274.6290456431535
2016-02-13 09:40:00;270.9928721174003
2016-02-13 18:00:00;295.66583143507984
2016-02-14 02:20:00;376.0915000000001
2016-02-14 10:40:00;375.4931506849315
2016-02-14 19:00:00;325.59731543624184
2016-02-15 03:20:00;302.5776859504133
2016-02-15 11:40:00;300.95557894736845
2016-02-15 20:00:00;337.15051546391754
2016-02-16 04:20:00;326.69752066115706
