Time;HFIC604
2016-01-01 08:20:00;190.3692307692308
2016-01-01 16:40:00;190.5925
2016-01-02 01:00:00;190.9777777777778
2016-01-02 09:20:00;191.65
2016-01-02 17:40:00;188.41363636363633
2016-01-03 02:00:00;187.42903225806452
2016-01-03 10:20:00;187.24999999999994
2016-01-03 18:40:00;187.32000000000002
2016-01-04 03:00:00;181.3514285714286
2016-01-04 11:20:00;185.05555555555551
2016-01-04 19:40:00;188.5625
2016-01-05 04:00:00;190.48387096774192
2016-01-05 12:20:00;190.40217391304347
2016-01-05 20:40:00;188.91000000000003
2016-01-06 05:00:00;188.80217391304342
2016-01-06 13:20:00;188.50217391304344
2016-01-06 21:40:00;190.8153846153846
2016-01-07 06:00:00;194.83571428571432
2016-01-07 14:20:00;194.17380952380955
2016-01-07 22:40:00;192.5
2016-01-08 07:00:00;191.38194444444446
2016-01-08 15:20:00;192.41219512195124
2016-01-08 23:40:00;196.68947368421053
2016-01-09 08:00:00;193.39999999999998
2016-01-09 16:20:00;195.90675675675683
2016-01-10 00:40:00;204.81621621621625
2016-01-10 09:00:00;200.6947368421053
2016-01-10 17:20:00;202.39838709677414
2016-01-11 01:40:00;200.9933333333333
2016-01-11 10:00:00;225.5649350649351
2016-01-11 18:20:00;230.33043478260868
2016-01-12 02:40:00;217.12653061224492
2016-01-12 11:00:00;209.92075471698112
2016-01-12 19:20:00;193.61066666666665
2016-01-13 03:40:00;184.653164556962
2016-01-13 12:00:00;173.60250000000002
2016-01-13 20:20:00;148.44999999999996
2016-01-14 04:40:00;141.48292682926825
2016-01-14 13:00:00;141.0873417721519
2016-01-14 21:20:00;142.78648648648647
2016-01-15 05:40:00;138.59852941176473
2016-01-15 14:00:00;137.32888888888888
2016-01-15 22:20:00;137.72112676056338
2016-01-16 06:40:00;137.16760563380282
2016-01-16 15:00:00;136.9953488372093
2016-01-16 23:20:00;136.93846153846152
2016-01-17 07:40:00;135.38499999999996
2016-01-17 16:00:00;136.33333333333331
2016-01-18 00:20:00;140.98125000000002
2016-01-18 08:40:00;142.0304347826087
2016-01-18 17:00:00;143.38507462686565
2016-01-19 01:20:00;139.59420289855075
2016-01-19 09:40:00;134.62190476190474
2016-01-19 18:00:00;136.5849315068493
2016-01-20 02:20:00;143.0209677419355
2016-01-20 10:40:00;152.786170212766
2016-01-20 19:00:00;163.86428571428573
2016-01-21 03:20:00;165.97605633802817
2016-01-21 11:40:00;159.4292134831461
2016-01-21 20:00:00;162.37402597402595
2016-01-22 04:20:00;161.52068965517242
2016-01-22 12:40:00;158.50963855421682
2016-01-22 21:00:00;161.4782051282052
2016-01-23 05:20:00;165.3758064516129
2016-01-23 13:40:00;148.43818181818182
2016-01-23 22:00:00;145.71956521739128
2016-01-24 06:20:00;148.71111111111108
2016-01-24 14:40:00;155.57076923076923
2016-01-24 23:00:00;158.11698113207544
2016-01-25 07:20:00;149.67857142857147
2016-01-25 15:40:00;151.88653846153844
2016-01-26 00:00:00;154.70652173913044
2016-01-26 08:20:00;147.43283582089552
2016-01-26 16:40:00;148.3661538461538
2016-01-27 01:00:00;151.36410256410255
2016-01-27 09:20:00;145.98604651162788
2016-01-27 17:40:00;136.471875
2016-01-28 02:00:00;131.85744680851067
2016-01-28 10:20:00;127.24126984126983
2016-01-28 18:40:00;138.1016129032258
2016-01-29 03:00:00;139.1148936170213
2016-01-29 11:20:00;172.82608695652178
2016-01-29 19:40:00;153.90249999999997
2016-01-30 04:00:00;178.31807228915667
2016-01-30 12:20:00;187.7217391304348
2016-01-30 20:40:00;194.3082568807339
2016-01-31 05:00:00;191.04923076923077
2016-01-31 13:20:00;172.23333333333332
2016-01-31 21:40:00;165.77375
2016-02-01 06:00:00;154.53064516129032
2016-02-01 14:20:00;145.92720588235287
2016-02-01 22:40:00;148.92159090909084
2016-02-02 07:00:00;153.48355263157885
2016-02-02 15:20:00;155.55677966101692
2016-02-02 23:40:00;159.97142857142856
2016-02-03 08:00:00;159.70434782608692
2016-02-03 16:20:00;162.7227272727273
2016-02-04 00:40:00;159.06
2016-02-04 09:00:00;186.28
2016-02-04 17:20:00;207.03090909090915
2016-02-05 01:40:00;210.3774193548387
2016-02-05 10:00:00;212.9455555555556
2016-02-05 18:20:00;230.0012195121952
2016-02-06 02:40:00;234.0393939393939
2016-02-06 11:00:00;225.22031249999998
2016-02-06 19:20:00;225.36231884057966
2016-02-07 03:40:00;225.07647058823528
2016-02-07 12:00:00;220.18518518518516
2016-02-07 20:20:00;210.4673469387755
2016-02-08 04:40:00;200.1103448275862
2016-02-08 13:00:00;197.8736842105263
2016-02-08 21:20:00;202.1307692307692
2016-02-09 05:40:00;198.87924528301895
2016-02-09 14:00:00;201.05882352941174
2016-02-09 22:20:00;205.08461538461538
2016-02-10 06:40:00;200.6170212765957
2016-02-10 15:00:00;209.01866666666663
2016-02-10 23:20:00;228.33703703703702
2016-02-11 07:40:00;217.85384615384618
2016-02-11 16:00:00;221.43000000000004
2016-02-12 00:20:00;238.47234042553194
2016-02-12 08:40:00;238.04545454545453
2016-02-12 17:00:00;234.9090909090909
2016-02-13 01:20:00;231.85769230769228
2016-02-13 09:40:00;227.32659574468082
2016-02-13 18:00:00;237.0284090909091
2016-02-14 02:20:00;234.7792207792208
2016-02-14 10:40:00;236.151
2016-02-14 19:00:00;238.578
2016-02-15 03:20:00;234.05147058823533
2016-02-15 11:40:00;233.9152542372882
2016-02-15 20:00:00;255.91249999999997
2016-02-16 04:20:00;236.7463414634147
2016-02-16 12:40:00;234.4121621621621
